Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Wilhelm W., Schott W.","7102391882;7005426790;","A method to compensate the energy loss of a continuous stacked beam with a large momentum spread",1975,"Nuclear Instruments and Methods","131","3",,"481","488",,2,"10.1016/0029-554X(75)90438-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016591637&doi=10.1016%2f0029-554X%2875%2990438-3&partnerID=40&md5=30cc3d30febfc61df338aeeb12111289","Physik-Department der Technischen Universität München, Munich, Germany","Wilhelm, W., Physik-Department der Technischen Universität München, Munich, Germany; Schott, W., Physik-Department der Technischen Universität München, Munich, Germany","A system of rectangular drift tube loaded cavities resonating in the TE 101 mode combined with a cyclic scaling guide field can be used to accelerate an unbunched beam of charged particles. The system is superior to phase displacement because the cavities are driven at a fixed frequency with certain phase differences between each other. The range of particle momenta is limited by rf-knock out. Rf-induced betatron oscillations and phase dependent momentum changes can be compensated by means of sixteen cavities on the circumference of the accelerator. The amplitude of the betatron oscillations and the energy gain were calculated numerically for storage devices consisting of a spiral-sector FFAG guide field and one or sixteen cavities, respectively, using measured rf-field data. The systems seem to be practical only for electrons with an energy up to 100 MeV. The rf-system works within an energy width of several MeV. © 1975.",,"SCINTILLATION COUNTERS; TIME MEASUREMENT",Article,"Final","",Scopus,2-s2.0-0016591637
"Alper B., Böggild H., Booth P., Bulos F., Carolll L.J., Damgaard G., Von Dardel G., Duff B., Hansen K.H., Heymann F., Jackson J.N., Jarlskog G., Jönsson L., Klovning A., Leistam L., Lillethun E., Lohse E., Lynch G., Manning G., Potter K., Prentice M., Sharp P., Sharrock S., Ølgaard-Nielsen S., Quarrie D., Weiss J.M.","57206224421;7004549872;55622631900;57215889758;24564613300;8791903500;57195118682;16457475200;57199285485;22982850600;26643205000;6603962980;7102349328;7004574011;6701439762;6603074460;24488159600;55544641000;22988851500;22983395800;24562400700;57214517188;24552672500;24566566600;57198062251;36124183600;","Production spectra of π±, K±, p± at large angles in proton-proton collisions in the CERN intersecting storage rings",1975,"Nuclear Physics, Section B","100","2",,"237","290",,386,"10.1016/0550-3213(75)90618-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-4244001295&doi=10.1016%2f0550-3213%2875%2990618-5&partnerID=40&md5=97fe9e50ab86000bd74c138e3dc1c055","CERN, Geneva, Switzerland; Liverpool University, Liverpool, United Kingdom; Lund University, Lund, Sweden; Niels Bohr Institute, Copenhagen, Denmark; Rutherford High Energy Laboratory, United Kingdom; Stockholm University, Stockholm, Sweden; University of Bergen, Bergen, Norway; University College London, London, United Kingdom","Alper, B., CERN, Geneva, Switzerland, Liverpool University, Liverpool, United Kingdom, Lund University, Lund, Sweden, Niels Bohr Institute, Copenhagen, Denmark, Rutherford High Energy Laboratory, United Kingdom, Stockholm University, Stockholm, Sweden, University of Bergen, Bergen, Norway, University College London, London, United Kingdom; Böggild, H., CERN, Geneva, Switzerland, Liverpool University, Liverpool, United Kingdom, Lund University, Lund, Sweden, Niels Bohr Institute, Copenhagen, Denmark, Rutherford High Energy Laboratory, United Kingdom, Stockholm University, Stockholm, Sweden, University of Bergen, Bergen, Norway, University College London, London, United Kingdom; Booth, P., CERN, Geneva, Switzerland, Liverpool University, Liverpool, United Kingdom, Lund University, Lund, Sweden, Niels Bohr Institute, Copenhagen, Denmark, Rutherford High Energy Laboratory, United Kingdom, Stockholm University, Stockholm, Sweden, University of Bergen, Bergen, Norway, University College London, London, United Kingdom; Bulos, F., CERN, Geneva, Switzerland, Liverpool University, Liverpool, United Kingdom, Lund University, Lund, Sweden, Niels Bohr Institute, Copenhagen, Denmark, Rutherford High Energy Laboratory, United Kingdom, Stockholm University, Stockholm, Sweden, University of Bergen, Bergen, Norway, University College London, London, United Kingdom; Carolll, L.J., CERN, Geneva, Switzerland, Liverpool University, Liverpool, United Kingdom, Lund University, Lund, Sweden, Niels Bohr Institute, Copenhagen, Denmark, Rutherford High Energy Laboratory, United Kingdom, Stockholm University, Stockholm, Sweden, University of Bergen, Bergen, Norway, University College London, London, United Kingdom; Damgaard, G., CERN, Geneva, Switzerland, Liverpool University, Liverpool, United Kingdom, Lund University, Lund, Sweden, Niels Bohr Institute, Copenhagen, Denmark, Rutherford High Energy Laboratory, United Kingdom, Stockholm University, Stockholm, Sweden, University of Bergen, Bergen, Norway, University College London, London, United Kingdom; Von Dardel, G., CERN, Geneva, Switzerland, Liverpool University, Liverpool, United Kingdom, Lund University, Lund, Sweden, Niels Bohr Institute, Copenhagen, Denmark, Rutherford High Energy Laboratory, United Kingdom, Stockholm University, Stockholm, Sweden, University of Bergen, Bergen, Norway, University College London, London, United Kingdom; Duff, B., CERN, Geneva, Switzerland, Liverpool University, Liverpool, United Kingdom, Lund University, Lund, Sweden, Niels Bohr Institute, Copenhagen, Denmark, Rutherford High Energy Laboratory, United Kingdom, Stockholm University, Stockholm, Sweden, University of Bergen, Bergen, Norway, University College London, London, United Kingdom; Hansen, K.H., CERN, Geneva, Switzerland, Liverpool University, Liverpool, United Kingdom, Lund University, Lund, Sweden, Niels Bohr Institute, Copenhagen, Denmark, Rutherford High Energy Laboratory, United Kingdom, Stockholm University, Stockholm, Sweden, University of Bergen, Bergen, Norway, University College London, London, United Kingdom; Heymann, F., CERN, Geneva, Switzerland, Liverpool University, Liverpool, United Kingdom, Lund University, Lund, Sweden, Niels Bohr Institute, Copenhagen, Denmark, Rutherford High Energy Laboratory, United Kingdom, Stockholm University, Stockholm, Sweden, University of Bergen, Bergen, Norway, University College London, London, United Kingdom; Jackson, J.N., CERN, Geneva, Switzerland, Liverpool University, Liverpool, United Kingdom, Lund University, Lund, Sweden, Niels Bohr Institute, Copenhagen, Denmark, Rutherford High Energy Laboratory, United Kingdom, Stockholm University, Stockholm, Sweden, University of Bergen, Bergen, Norway, University College London, London, United Kingdom; Jarlskog, G., CERN, Geneva, Switzerland, Liverpool University, Liverpool, United Kingdom, Lund University, Lund, Sweden, Niels Bohr Institute, Copenhagen, Denmark, Rutherford High Energy Laboratory, United Kingdom, Stockholm University, Stockholm, Sweden, University of Bergen, Bergen, Norway, University College London, London, United Kingdom; Jönsson, L., CERN, Geneva, Switzerland, Liverpool University, Liverpool, United Kingdom, Lund University, Lund, Sweden, Niels Bohr Institute, Copenhagen, Denmark, Rutherford High Energy Laboratory, United Kingdom, Stockholm University, Stockholm, Sweden, University of Bergen, Bergen, Norway, University College London, London, United Kingdom; Klovning, A., CERN, Geneva, Switzerland, Liverpool University, Liverpool, United Kingdom, Lund University, Lund, Sweden, Niels Bohr Institute, Copenhagen, Denmark, Rutherford High Energy Laboratory, United Kingdom, Stockholm University, Stockholm, Sweden, University of Bergen, Bergen, Norway, University College London, London, United Kingdom; Leistam, L., CERN, Geneva, Switzerland, Liverpool University, Liverpool, United Kingdom, Lund University, Lund, Sweden, Niels Bohr Institute, Copenhagen, Denmark, Rutherford High Energy Laboratory, United Kingdom, Stockholm University, Stockholm, Sweden, University of Bergen, Bergen, Norway, University College London, London, United Kingdom; Lillethun, E., CERN, Geneva, Switzerland, Liverpool University, Liverpool, United Kingdom, Lund University, Lund, Sweden, Niels Bohr Institute, Copenhagen, Denmark, Rutherford High Energy Laboratory, United Kingdom, Stockholm University, Stockholm, Sweden, University of Bergen, Bergen, Norway, University College London, London, United Kingdom; Lohse, E., CERN, Geneva, Switzerland, Liverpool University, Liverpool, United Kingdom, Lund University, Lund, Sweden, Niels Bohr Institute, Copenhagen, Denmark, Rutherford High Energy Laboratory, United Kingdom, Stockholm University, Stockholm, Sweden, University of Bergen, Bergen, Norway, University College London, London, United Kingdom; Lynch, G., CERN, Geneva, Switzerland, Liverpool University, Liverpool, United Kingdom, Lund University, Lund, Sweden, Niels Bohr Institute, Copenhagen, Denmark, Rutherford High Energy Laboratory, United Kingdom, Stockholm University, Stockholm, Sweden, University of Bergen, Bergen, Norway, University College London, London, United Kingdom; Manning, G., CERN, Geneva, Switzerland, Liverpool University, Liverpool, United Kingdom, Lund University, Lund, Sweden, Niels Bohr Institute, Copenhagen, Denmark, Rutherford High Energy Laboratory, United Kingdom, Stockholm University, Stockholm, Sweden, University of Bergen, Bergen, Norway, University College London, London, United Kingdom; Potter, K., CERN, Geneva, Switzerland, Liverpool University, Liverpool, United Kingdom, Lund University, Lund, Sweden, Niels Bohr Institute, Copenhagen, Denmark, Rutherford High Energy Laboratory, United Kingdom, Stockholm University, Stockholm, Sweden, University of Bergen, Bergen, Norway, University College London, London, United Kingdom; Prentice, M., CERN, Geneva, Switzerland, Liverpool University, Liverpool, United Kingdom, Lund University, Lund, Sweden, Niels Bohr Institute, Copenhagen, Denmark, Rutherford High Energy Laboratory, United Kingdom, Stockholm University, Stockholm, Sweden, University of Bergen, Bergen, Norway, University College London, London, United Kingdom; Sharp, P., CERN, Geneva, Switzerland, Liverpool University, Liverpool, United Kingdom, Lund University, Lund, Sweden, Niels Bohr Institute, Copenhagen, Denmark, Rutherford High Energy Laboratory, United Kingdom, Stockholm University, Stockholm, Sweden, University of Bergen, Bergen, Norway, University College London, London, United Kingdom; Sharrock, S., CERN, Geneva, Switzerland, Liverpool University, Liverpool, United Kingdom, Lund University, Lund, Sweden, Niels Bohr Institute, Copenhagen, Denmark, Rutherford High Energy Laboratory, United Kingdom, Stockholm University, Stockholm, Sweden, University of Bergen, Bergen, Norway, University College London, London, United Kingdom; Ølgaard-Nielsen, S., CERN, Geneva, Switzerland, Liverpool University, Liverpool, United Kingdom, Lund University, Lund, Sweden, Niels Bohr Institute, Copenhagen, Denmark, Rutherford High Energy Laboratory, United Kingdom, Stockholm University, Stockholm, Sweden, University of Bergen, Bergen, Norway, University College London, London, United Kingdom; Quarrie, D., CERN, Geneva, Switzerland, Liverpool University, Liverpool, United Kingdom, Lund University, Lund, Sweden, Niels Bohr Institute, Copenhagen, Denmark, Rutherford High Energy Laboratory, United Kingdom, Stockholm University, Stockholm, Sweden, University of Bergen, Bergen, Norway, University College London, London, United Kingdom; Weiss, J.M., CERN, Geneva, Switzerland, Liverpool University, Liverpool, United Kingdom, Lund University, Lund, Sweden, Niels Bohr Institute, Copenhagen, Denmark, Rutherford High Energy Laboratory, United Kingdom, Stockholm University, Stockholm, Sweden, University of Bergen, Bergen, Norway, University College London, London, United Kingdom","Results are given on the inclusive production of charged pions, kaons, and nucleons, in proton-proton collisions at c.m. energies from √s = 23 to 63 GeV at large angles and for the transverse momentum range 0.1 &lt; pT &lt; 4.8 GeV/c. The dependence of the production spectra on the collision energy √s, the transverse momentum pT, and the longitudinal rapidity is discussed. © 1975.",,,Article,"Final","",Scopus,2-s2.0-4244001295
"Agarwal K.C., Parks Jr. R.E.","7201380793;35462340100;","Adenosine analogs and human platelets. Effects on nucleotide pools and the aggregation phenomenon",1975,"Biochemical Pharmacology","24","24",,"2239","2248",,28,"10.1016/0006-2952(75)90261-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016794074&doi=10.1016%2f0006-2952%2875%2990261-0&partnerID=40&md5=c40f53598c3dae9f9e5c7cc5b3390d4e","Division of Biological and Medical Sciences, Brown University, Providence, RI 02912, United States; Division of Haematologic Research, The Memorial Hospital, Pawtucket, RI 02860, United States","Agarwal, K.C., Division of Biological and Medical Sciences, Brown University, Providence, RI 02912, United States, Division of Haematologic Research, The Memorial Hospital, Pawtucket, RI 02860, United States; Parks Jr., R.E., Division of Biological and Medical Sciences, Brown University, Providence, RI 02912, United States, Division of Haematologic Research, The Memorial Hospital, Pawtucket, RI 02860, United States","The interaction between human blood platelets and adenosine and various adenosine analogs was examined. Effects were found both on the pools of nucleotides, as examined by the technic of high pressure liquid chromatography, and on the phenomenon of ADP-induced platelet aggregation. Although the normal ratio of ATP and ADP in platelets is about 1.5:1, after incubation with adenosine-8-14C, ATP and ADP were labeled in a ratio of about 7:1. This is consistent with a distribution of the nucleotides among storage and metabolic pools, with the adenosine-8-14C entering principally the metabolic pool. After 2 hr of incubation with 0-5 mM 2-fluoroadenosine (F-Ado), the concentration of F-ATP was approximately 12 μmoles/1011 platelets. The ratio of F-ATP to F-ADP was approximately 7:1, indicating that it entered primarily the metabolic nucleotide pool. Also, during the first hr of incubation, as the F-ATP concentration increased, the ATP concentration fell. When F-ATP-containing platelets were treated with thrombin, an aggregator and storage granule releaser, the nucleotides released into the medium consisted principally of ATP and ADP in a ratio of about 0.8:1, with very little 2-fluoroadenine-containing nucleotides. After thrombin treatment, the washed platelet pellet contained most of the 2-fluoroadenine nucleotides, but with significant increases in the concentrations of F-AMP and F-ADP. This suggests that F-ATP can replace ATP as the energy donor for the aggregation and release phenomena. As reported elsewhere, adenosine strongly inhibits platelet aggregation induced by ADP. However, this inhibitory effect disappears after preincubation for about 30 min. If the preincubation is carried out in the presence of coformycin, a tight-binding inhibitor of adenosine deaminase (Ki ≅ 1 × 10-10M), the inhibition of aggregation by adenosine is markedly prolonged, indicating that the loss of inhibition results from conversion of adenosine to inosine by adenosine deaminase. ADP-induced aggregation is powerfully inhibited by F-Ado, and the inhibition becomes more pronounced on prolonged incubation. This is consistent with the observation that F-Ado has very weak substrate activity with adenosine deaminase. The analog, N6-phenyladenosine, an inhibitor of adenosine kinase that does not form analog nucleotides in platelets, inhibits aggregation strongly, and the inhibition is maintained during incubation of 1 hr. Several other adenosine analogs only weakly inhibit ADP-induced aggregation even in the presence of coformycin. These include 2'-deoxyadenosine, 3'-deoxyadenosine (cordycepin), arabinosyladenine, and formycin A, a C-nucleoside. However, significant quantities of nucleotides of formycin A are formed in platelets in the presence of coformycin. © 1975.",,"adenosine; adenosine diphosphate; adenosine triphosphate; adenylate kinase; coformycin; cordycepin; creatine kinase; creatine phosphate; deoxyadenosine; guanosine diphosphate; radioisotope; vidarabine; adenosine c 14; fluoroadenosine; formicin; human; in vitro study; metabolism; normal human; theoretical study; thrombocyte; thrombocyte aggregation; Adenosine; Adenosine Diphosphate; Adenosine Triphosphate; Blood Platelets; Chromatography, Liquid; Depression, Chemical; Human; In Vitro; Nucleotides; Platelet Aggregation; Ribose; Support, U.S. Gov't, P.H.S.; Thrombin; Time Factors",Article,"Final","",Scopus,2-s2.0-0016794074
"Papiernik A., Jecko B., Chatard-Moulin M.","7003385210;7006402070;6602869758;","Radiation losses in electron ring cavities",1975,"Nuclear Instruments and Methods","130","2",,"315","324",,3,"10.1016/0029-554X(75)90031-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0009907818&doi=10.1016%2f0029-554X%2875%2990031-2&partnerID=40&md5=37d39bd32dc9c53dc63ff7bb0464b5af","Laboratoire d'Electronique des Microondes, U.E.R. des Sciences, Université de Limoges, 123, rue Albert Thomas, 87 100 Limoges, France","Papiernik, A., Laboratoire d'Electronique des Microondes, U.E.R. des Sciences, Université de Limoges, 123, rue Albert Thomas, 87 100 Limoges, France; Jecko, B., Laboratoire d'Electronique des Microondes, U.E.R. des Sciences, Université de Limoges, 123, rue Albert Thomas, 87 100 Limoges, France; Chatard-Moulin, M., Laboratoire d'Electronique des Microondes, U.E.R. des Sciences, Université de Limoges, 123, rue Albert Thomas, 87 100 Limoges, France","The energy lost by any particle of an electron bunch passing through an rf accelerating cavity which has recently received much attention in connection with high current storage rings using a large number of cavity units, is calculated by eigenmode expansion. A simple analytic formula which can be easily applied to PEP, DORIS and PETRA proposals, is obtained. © 1975.",,,Article,"Final","",Scopus,2-s2.0-0009907818
"Winterberg F.","7006321630;","Production of dense thermonuclear plasmas by intense ion beams",1975,"Plasma Physics","17","1","006","69","77",,29,"10.1088/0032-1028/17/1/006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-36149055088&doi=10.1088%2f0032-1028%2f17%2f1%2f006&partnerID=40&md5=39f655042481c0745926df94a9b983d7","Univ. Nevada System, Reno, NV, United States","Winterberg, F., Univ. Nevada System, Reno, NV, United States","For very high density plasmas, large energy accumulation within a small volume is required. As an alternative to laser- or relativistic electron-beams, the employment of intense non-relativistic beams of heavy ions is considered. Because of the rather low ion velocities, the beams can be axially compressed thereby shortening the duration of the beam pulse and increasing the beam power by perhaps several orders of magnitude. The low ion velocities make it possible to build up the beam rather slowly in about approximately 10-6 sec, prior to its axial compression and delivery to the target. This long build up time may permit the use of cheap inductive energy storage devices to drive the beam. In case capacitors are used one can simply pulse the beam with the upper terminal of a Marx generator.",,,Article,"Final","",Scopus,2-s2.0-36149055088
"Magee Jr. W.S.","7006194060;","Analysis of accelerated and natural aging of impregnated charcoals",1975,"Preprints","20","2",,"325","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847800625&partnerID=40&md5=5a81da02c14fba5fa3c3ce07e5f23ee6","Development and Engineering Directorate, Defense Systems Division, Physical Protection Branch, Aberdeen Proving Ground, MD 21010, United States","Magee Jr., W.S., Development and Engineering Directorate, Defense Systems Division, Physical Protection Branch, Aberdeen Proving Ground, MD 21010, United States","Enhanced removal of such toxic materials as cyanogen chloride, hydrogen cyanide and arsine from humid air streams is afforded by sorbent beds containing charcoal impregnated with inorganic salts of chromium, copper and silver. The enhancement, as measured by service lives of beds under specified conditions, deteriorates with time of storage. Analysis of kinetic data for natural and accelerated aging reveals the deterioration to be comprised of simultaneous fast and slow processes. The rate constants for the fast and slow process can be approximated as having a second order dependency upon the water content of the stored charcoal and virtually identical Arrhenius activation energies. A mechanism based upon non-aging physisorptive sites and fast and slow aging chemi-sorptive sites is used in a mathematical model which approximates the data in the temperature range for which data is available.",,,Conference Paper,"Final","",Scopus,2-s2.0-33847800625
"Morris R.C., Cline C.F., Begley R.F., Dutoit M., Harget P.J., Jenssen H.P., La France T.S., Webb R.","7404060117;7007057815;23029714400;7004412423;6603550394;7006773039;23031141000;55424020800;","Lanthanum beryllate: A new rare-earth ion laser host",1975,"Applied Physics Letters","27","8",,"444","445",,18,"10.1063/1.88510","https://www.scopus.com/inward/record.uri?eid=2-s2.0-11744334612&doi=10.1063%2f1.88510&partnerID=40&md5=7bf6e8db5b140f0b309c3deea7001b7d","Materials Research Center, Allied Chemical Corporation, Morristown, NJ 07960; Center for Materials Science and Engineering, Department of Electrical Engineering, Massachusetts Institute of Technology, Cambridge, Mass. 02139","Morris, R.C., Materials Research Center, Allied Chemical Corporation, Morristown, NJ 07960; Cline, C.F., Materials Research Center, Allied Chemical Corporation, Morristown, NJ 07960; Begley, R.F., Materials Research Center, Allied Chemical Corporation, Morristown, NJ 07960; Dutoit, M., Materials Research Center, Allied Chemical Corporation, Morristown, NJ 07960; Harget, P.J., Materials Research Center, Allied Chemical Corporation, Morristown, NJ 07960, Center for Materials Science and Engineering, Department of Electrical Engineering, Massachusetts Institute of Technology, Cambridge, Mass. 02139; Jenssen, H.P., Materials Research Center, Allied Chemical Corporation, Morristown, NJ 07960; La France, T.S., Materials Research Center, Allied Chemical Corporation, Morristown, NJ 07960; Webb, R., Materials Research Center, Allied Chemical Corporation, Morristown, NJ 07960","Optical quality crystals, measuring up to 2.5×20 cm, of the compound La2Be2O5: Nd3+ have been grown from the melt. The results of physical- and optical-property measurements and laser testing (long pulse, Q switched, and cw mode) are reported. Linearly polarized laser oscillations at 1.07 and 1.08 μm are observed. Long-pulse slope efficiencies about 60% greater than for YAG: Nd at comparable pumping thresholds and Q-switched energy storage nearly three times that of YAG: Nd are also observed.",,,Article,"Final","",Scopus,2-s2.0-11744334612
"Tsuchiya T., Rosen B.P.","35480795100;7202720921;","Characterization of an active transport system for calcium in inverted membrane vesicles of Escherichia coli",1975,"Journal of Biological Chemistry","250","19",,"7687","7692",,35,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016703348&partnerID=40&md5=78e71f87fef321906dcda50e4e510b53","Dept. Biol. Chem., Univ. Maryland Sch. Med., Baltimore, Md. 21201, United States","Tsuchiya, T., Dept. Biol. Chem., Univ. Maryland Sch. Med., Baltimore, Md. 21201, United States; Rosen, B.P., Dept. Biol. Chem., Univ. Maryland Sch. Med., Baltimore, Md. 21201, United States","The energy dependent uptake of calcium by inverted membrane vesicles of E. coli was investigated. Methods for preparation and storage of the vesicles were devised to allow for the maximal activity and stability of the calcium transport system. The pH and temperature optima for the reaction were observed to occur at pH 8.0 and 30°, respectively. The effects of various ions on the transport reaction were determined. It was found that the extent of the reaction depended on the presence of phosphate or oxalate. Phosphate was found to enter the vesicles at a rate slower than that of calcium. A Ca2+:P(i) ratio of approximately 1.5 was found, suggesting formation of Ca3(PO4)2. Monovalent cations stimulated calcium uptake, with the order of effectiveness being K+ &gt; Na+ &gt; Li+ &gt; NH4+. Inhibition was found with certain divalent cations, but these cations also inhibited the electron transport chain. Of the divalent cations examined, only Mg2+ and Sr2+ inhibited calcium transport without a corresponding inhibition of respiration. Calcium transport exhibited biphasic kinetics, with a low affinity system and a high affinity system. The low affinity system showed a Km of 0.34 mM and a Vmax of 85 nmol/min/mg of protein. The kinetic constants of the high affinity system were 4.5 μM and 2 nmol/min/mg of protein. The energy for calcium transport could be derived from the electron transport chain by oxidation of NADH, D lactate, and succinate, in order of their effectiveness. Respiration driven calcium transport was inhibited by inhibitors of the electron transport chain and by uncouplers of oxidative phosphorylation. ATP could also be used to supply energy for calcium transport. The ATP driven reaction was inhibited by inhibitors of the Mg2+ATPase and by an antiserum prepared against that protein, demonstrating that that enzyme is involved in the utilization of ATP for active transport in inverted vesicles.",,"adenosine triphosphatase; adenosine triphosphate; calcium; calcium chloride ca 45; radioisotope; cell membrane transport; escherichia coli; in vitro study; membrane; membrane vesicle; microorganism; theoretical study; Adenosinetriphosphatase; Anions; Biological Transport, Active; Calcium; Cations, Divalent; Cations, Monovalent; Cell Membrane; Enzyme Activation; Escherichia coli; Hydrogen-Ion Concentration; Kinetics; Magnesium; Sulfhydryl Reagents; Support, U.S. Gov't, Non-P.H.S.; Support, U.S. Gov't, P.H.S.; Temperature",Article,"Final","",Scopus,2-s2.0-0016703348
"Bennet Clark H.C.","6701786477;","The energetics of the jump of the locust Schistocerca gregaria",1975,"Journal of Experimental Biology","63","1",,"53","83",,311,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016697279&partnerID=40&md5=045b736f9412aa18925e89ace3acd59a","Dept. Zool., Univ. Edinburgh, United Kingdom","Bennet Clark, H.C., Dept. Zool., Univ. Edinburgh, United Kingdom","The anatomy of the metathoracic leg is redescribed with particular reference to storage of energy in cuticular elements and the way in which the stored energy is used in jumping. The jump of adult male locusts requires an energy of 9 mJ and that of the female requires 11 mJ. The semilunar processes of each metafemur store 4 mJ at a stress of 15 N, and the extensor tibiae apodeme stores a further 3 mJ at the same stress. The total stored energy in both metathoracic legs is 14 mJ. The extensor tibiae muscle produces a maximum isometric force of over 15 N at 30°C and, when loaded with the extensor apodeme and semilunar processes, attains this force in 0.3 sec with a strain of 0.8 mm. The peak power output is 36 mW or 0.45 W.g-1. The peak isometric force is attained when the tibia is fully flexed and the force falls as the tibia extends. The extensor tibiae muscle A band is 5.5 μm long and the peak force is over 0.75 N.m-2. The peak velocity of shortening is 7 mm.sec-1 or about 1.75 lengths/sec at 30°C. The tensile strength of the extensor apodeme is 0.6 kN.mm-2 and Young's modulus is 19 kN.mm-2. The safety factor does not exceed 1.2 and the safety factor of the semilunar processes and tibial cuticle is little higher. The jump impulse lasts 25-30 msec. A velocity of 3.2 m.sec-1 is reached after a peak acceleration of 180 m.sec-2. The peak power output is 0.75 W at close to maximum velocity. Energy losses in rotating the femur and tibia are small and it is shown that the leg is able to extend at 7 times the normal rate with losses of about 20%. Most of the stored energy is converted to kinetic energy as the animal jumps. A model based on the relaxation of a spring that has the properties of the elastic elements of the locust leg into a level with the same kinematics as the locust leg produces a force distance curve similar to that measured for locust jumps. The major part of the jump energy is stored before the jump.",,"energy transfer; exercise; invertebrate; jumping; model; theoretical study; walking; Animal; Energy Metabolism; Female; Grasshoppers; Hindlimb; Locomotion; Models, Biological; Muscle Contraction; Thermodynamics",Article,"Final","",Scopus,2-s2.0-0016697279
"Varkarakis M.J., Papahadjopoulos D., Murphy G.P.","7003278230;7005493819;35428303300;","Changes of renal ATPase enzymes in different types of kidney preservation.",1975,"Proceedings of the European Dialysis and Transplant Association. European Dialysis and Transplant Association","11",,,"294","299",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016653142&partnerID=40&md5=ad61460b35302659d39bacf31d2b941d",,"Varkarakis, M.J.; Papahadjopoulos, D.; Murphy, G.P.","After 24-hr storage of canine kidneys with extracellular or intracellular (Ursol) solutions, the cortical and medullary renal ATPase enzymes (total Na+ + K+ and Mg-ATPase, Na+ + K+ -ATPase, and Mg-ATPase) were examined. It was found that storage with extracellular solution decreased all cortical enzymes. This was not the case with intracellular solution or in kidneys cooled and stored without any solution. A decrease in the potassium concentration of the Ursol solution decreased cortical (Na+ + K+)-ATPase enzymatic activity. The medullary enzymatic changes were similar in the different groups, and lower than in unstored controls. It appears that the changes on the level of the ATPase enzyme system which is related to the cation transport system might play a significant role in explaining the different results seen in clinical or experimental renal preservation systems. These changes can be related to the injury of preservation due to environmental effects of the cation concentrations and to a lesser degree to the damage of the enzyme system which provides the energy for cation transport.",,"adenosine triphosphatase; magnesium; potassium; sodium; animal; article; cold; comparative study; dog; enzymology; kidney; kidney cortex; kidney medulla; metabolism; methodology; organ preservation; oxygen consumption; solution and solubility; tissue preservation; Adenosinetriphosphatase; Animal; Cold; Comparative Study; Dogs; Kidney; Kidney Cortex; Kidney Medulla; Magnesium; Organ Preservation; Oxygen Consumption; Potassium; Sodium; Solutions; Tissue Preservation",Article,"Final","",Scopus,2-s2.0-0016653142
