Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
[No author name available],[No author id available],"Radiation protection in veterinary medicine",2004,"NCRP Report",,"148",,"i","116",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051912729&partnerID=40&md5=d05c588528f4eab72deba9712efa8740",,"","This Report is concerned with the protection of individuals who may be exposed to radiation emitted by x-ray equipment and both sealed and unsealed radioactive sources in the practice of veterinary medicine. To the extent that the animal patient exposure is reduced, there is usually a proportional decrease in the occupational exposure to personnel. The Report provides guidance for the development of an effective radiation safety program and recommendations for the design of radiological facilities and for the use of radiographic, fluoroscopic and therapeutic equipment in veterinary medicine. Included are recommendations for the use of radiopharmaceuticals in diagnosis and therapy, and for the use of lasers and ultrasonic equipment. The National Council on Radiation Protection and Measurements (NCRP) provided recommendations for the limitation of exposure to ionizing radiation in Report No. 116 (NCRP, 1993). These recommendations are designed to achieve the objectives of radiation protection: (1) to prevent the occurrence of clinically significant acute radiation damage, and (2) to limit the risk of stochastic effects such as cancer and genetic effects. Radiation exposure to individuals from external radiation sources may be controlled and limited by any one or any combination of the following measures: (1) increasing the distance of the individual from the source (distance), (2) reducing the duration of exposure (time), and (3) using protective barriers between the individual and the source (shielding). For x- and gamma-ray equipment used by veterinarians, shielding and distance are the factors most readily controlled. Exposure to dispersed radioactive material from unsealed sources can be controlled and limited by using precautions in the handling of these materials. Although x-ray machines are widely used in veterinary medicine, the workload, and thus the potential exposure of both the practitioner and the technical assistants is, on the average, low. However, because practices such as restraining animals and holding film cassettes introduce risks of unnecessary exposure of staff, special attention is given in this Report to proper practices. Radiation safety program requirements are specified in Section 3. In summary, this radiation safety program should be commensurate with the hazards to personnel and to the general public, should be well documented, and should be reviewed on a regular basis to determine whether it continues to meet the operational needs and is effective. All veterinary personnel shall receive training in radiation safety commensurate with the individual's anticipated risk from radiation exposure. Individual monitoring will be required for some staff. However, when the number of staff is small, it is reasonable to provide individual monitoring for all employees. It is not likely that the potential for exposure to dispersed radioactive material will be sufficient to require a bioassay program to assess internal exposure. However, at veterinary facilities where 131I is used for radiation therapy, consideration should be given to instituting periodic thyroid counting of potentially exposed persons. Surveys to evaluate the radiation safety characteristics of x-ray machines and gamma-ray irradiators are necessary and are especially required for all new installations. Radiation safety surveys shall be made when radioactive materials are administered to animals. Although unlikely to be necessary, air sampling should be performed when appropriate to determine whether individuals caring for the animals are subjected to airborne contamination and whether bioassay is indicated. Warning signs, including instructions written in ""plain"" and unambiguous language, shall be used for radioactive material containers, radiation-producing devices, animal cages and pens, stalls, laboratories, and other areas in which radioactive materials or radiation-producing devices are used or stored. Recommendations for the design of facilities that use fixed and portable radiographic and fluoroscopic equipment, therapy equipment, and radionuclides are detailed in Section 4. For radiographic and fluoroscopic facilities, the required shielding barriers should be an integral part of the building or permanently affixed to the equipment. In the event that movable or portable barriers are required due to multiple uses of the room or mobile applications, the operators shall receive specific training in the placement of the shields. Structural shielding design for x- and gamma-ray equipment used for therapy and operating at energies up to 10 MeV is approached in a somewhat different way than the design for diagnostic x-ray equipment, although the same basic model is used. Leaded wallboard can be used to shield interior walls of diagnostic radiographic and therapy facilities operating at ≤150 kVp. For x-ray therapy facilities with operating potentials &gt;150 kVp and for gamma-ray facilities, poured or precast concrete is generally the preferred shielding material. Under some circumstances lead and steel can also be used. The models used to determine shielding requirements are discussed in Section 4. The basic concepts and terminology used in the design of shielding barriers include the shielding design goals, the workload for the x-ray unit, the distances to the areas to be shielded, occupancy factors for the areas to be shielded, and the use factor. These quantities are defined in the Glossary and examples of their use are given in Appendices A and B. The selection of shielding design goals is based on the recommendations of NCRP (2004) for controlled and uncontrolled areas. It is clear that implementation of the shielding design goals requires that the management of each facility evaluate the use of its space relative to exposure of its employees and members of the public. A discussion on shielding design goals is presented in Section 4.1.5.1. For diagnostic facilities, shielding requirements for barriers are given in Appendix A of this Report for lead, gypsum wallboard, and concrete. Typical workloads and operating potentials for veterinary facilities indicate that primary barriers would rarely exceed 3.2 mm (1/8 inch) of lead for both controlled areas and uncontrolled areas. For therapy facilities, shielding requirements for barriers are given in Appendix B of this Report for lead, steel and concrete. Recommendations for the design features for facilities in which the handling and administration of unsealed radioactive materials take place are based on those unique aspects of the radioactive materials that will be used. Design considerations include preventing or facilitating the removal of contamination, minimizing exposure, preventing airborne and sanitary sewer contamination, and providing for safe and effective radioactive waste disposal. When animals receive high administered activities of gamma-ray-emitting radionuclides, such as radioiodine for treatment of thyroid cancer, facility walls should be shielded to control radiation levels in surrounding occupied areas. In some instances, it would be acceptable to use mobile shields positioned close to the animals or their holding cells to protect areas of concern. Individuals who handle radioactive materials for administration to animals shall be protected from unnecessary exposure. Shields shaped like an ""L,"" with a lead base and a lead wall between the source and the radiation worker, can provide substantial reduction of potential doses to the worker and specific shields are indicated for syringes used to inject radioactive materials. Almost all radionuclides used in veterinary practice have a half-life &lt;120 d and lend themselves to decay-in-storage as an effective and safe method of disposal. However, waste radionuclides with half-lives &gt;120 d might have to be processed for transfer to a commercial disposal facility. Radioactive animal carcasses present a special problem as radioactive waste because there is not a shallow land disposal facility that will accept them. For disposal at a licensed radioactive waste disposal facility, animal carcasses are first incinerated at a licensed facility that has the capability of retrieving the radionuclides in ash and processing the ash in a manner that makes it acceptable for shallow land disposal. For those carcasses that can be processed via decay-in-storage, the carcasses can be disposed in the manner used for nonradioactive carcasses. However, steps shall be taken to ensure that animals used in radionuclide experiments are not subsequently consumed by human beings. A qualified expert (see Glossary) shall evaluate the shielding and radiation safety requirements of any new or modified installation (i.e., room redesigns or changes in shielding configurations) prior to the use of the facility (NCRP, 2004). The evaluation will normally involve direct measurements of the radiation transmitted through each of the shielding barriers. The measurement results shall be used to confirm that the shielding design goals have not been exceeded and therefore the respective annual values for effective dose recommended for controlled and uncontrolled areas (NCRP, 2004) have not been exceeded. Visual inspection during construction is important to verify that the specified type and thickness of shielding material and the safety systems are properly installed. Sections 5, 6 and 7 present details of the design, performance and operation of radiographic [including computed tomography (CT)] (Section 5), fluoroscopic (Section 6), and radiotherapy equipment (including brachytherapy sources) (Section 7), that relate to radiation safety and the protection of staff and visitors. Quality-assurance procedures for radiographic applications (i.e., x-ray equipment used for imaging) are given in Appendix C.",,"emergency health service; gamma radiation; human; nonhuman; quality control; radiation exposure; review; veterinary medicine; X irradiation",Review,"Final","",Scopus,2-s2.0-85051912729
"Florido P.C., Brasnarof D., Delmastro D., Azpitarte O.E.","55965581400;14024164200;56806769000;6507634303;","Garem x inpro case study",2004,"Proceedings of the International Conference on Nuclear Engineering (ICONE12)","1",,,"335","344",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-10644279756&partnerID=40&md5=ba29f4bb8667e3e72eb632d659272735","Centro Atómico Bariloche, 8400 Bariloche, Argentina; International Atomic Energy Agency","Florido, P.C., Centro Atómico Bariloche, 8400 Bariloche, Argentina; Brasnarof, D., Centro Atómico Bariloche, 8400 Bariloche, Argentina; Delmastro, D., Centro Atómico Bariloche, 8400 Bariloche, Argentina; Azpitarte, O.E., International Atomic Energy Agency","Argentina is performing CAREM X Nuclear System Case Study based on CAREM nuclear reactor and Once Through Fuel Cycle, using SIGMA for enriched uranium production, and a deep geological repository for final disposal of high level waste after surface intermediate storage in horizontal natural convection silos, to verify INPRO (International Project on Innovative Nuclear Reactors and Fuel Cycles) methodology. Projections show that developing countries could play a crucial role in the deployment of nuclear energy, in the next fifty years. This case study will be highly useful for checking INPRO methodology for this scenario. In this contribution to ICONE 12, the preliminary findings of the Case Study are presented, including proposals to improve the INPRO methodology.",,"Decommissioning (nuclear reactors); Energy utilization; Geological repositories; Human engineering; Natural convection; Nuclear energy; Nuclear power plants; Radioactive waste disposal; Radioactive waste storage; Spent fuels; Uranium; Argentina; Gas diffusion technology (GDT); High level wastes; Once through fuel cycle; Nuclear reactors",Conference Paper,"Final","",Scopus,2-s2.0-10644279756
"Heatwole S., Cadou C.P., Buckley S.G.","11439946100;6603646626;7101614164;","In situ FTIR measurements in a micro-channel flame",2004,"International Symposium on Combustion, Abstracts of Works-in-Progress Posters",,,,"96","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-10644287803&partnerID=40&md5=364d479bf01bc4bae25a77ce99b1d076","Department of Mechanical Engineering, University of Maryland, United States; Department of Aerospace Engineering, University of Maryland, United States; Department of Mechanical Engineering, University of California, San Diego, United States","Heatwole, S., Department of Mechanical Engineering, University of Maryland, United States; Cadou, C.P., Department of Aerospace Engineering, University of Maryland, United States; Buckley, S.G., Department of Mechanical Engineering, University of Maryland, United States, Department of Mechanical Engineering, University of California, San Diego, United States","The high energy density of hydrocarbon fuels make them an ideal energy storage medium, and combustion is a reliable and well-established means of releasing the energy stored in hydrocarbon fuels to do useful work. A novel technique for making non-intrusive measurements of species concentration and temperature using FTIR spectroscopy was presented. This tool enables the study of flame structure in real silicon devices without having to alter them to install optical access, which would be likely to change their performance. The concept was demonstrated in a CH 4/air flame stabilized in a micro-channel formed by two silicon wafers spaced 1-2 mm apart. The crystalline silicon walls of the channel were transparent in the mid-IR, allowing the use of traditional spectroscopic methods for quantification of CH 4 and CO 2 concentration as well as gas temperature. Problems with aliasing, slow acquisition times, and instabilities in the spectrometer due to fluctuating light levels from the flame, made low-resolution spectra more accurate. The implications of this diagnostic for understanding flame structure and stabilization in microchannels, as well as the performance of MEMS power system combustors were discussed. This is an abstract of a paper presented at the 30th International Symposium on Combustion (Chicago, IL 7/25-30/2004).",,,Conference Paper,"Final","",Scopus,2-s2.0-10644287803
"Farrell A.E., Zerriffi H., Dowlatabadi H.","7103135548;6506752923;57208459564;","Energy infrastructure and security",2004,"Annual Review of Environment and Resources","29",,,"421","469",,78,"10.1146/annurev.energy.29.062403.102238","https://www.scopus.com/inward/record.uri?eid=2-s2.0-10444290723&doi=10.1146%2fannurev.energy.29.062403.102238&partnerID=40&md5=dff178cd624e4af01ef66dbcf8d50975","Energy and Resources Group, University of California, Berkeley, CA 94720-3050, United States; Department of Engineering, Carnegie Mellon University, Pittsburgh, PA 15213-3890, United States; Sustainable Devmt. Res. Initiative, University of British Columbia, Vancouver, BC V6T 1Z2, Canada","Farrell, A.E., Energy and Resources Group, University of California, Berkeley, CA 94720-3050, United States; Zerriffi, H., Department of Engineering, Carnegie Mellon University, Pittsburgh, PA 15213-3890, United States; Dowlatabadi, H., Sustainable Devmt. Res. Initiative, University of British Columbia, Vancouver, BC V6T 1Z2, Canada","Concerns about safeguarding key infrastructures (such as energy, communications, banking, and roads) from deliberate attack are long-standing, but since the end to the cold war, emphasis has turned to the possible impacts of terrorism. Activities to address these concerns are sometimes called critical infrastructure protection (CIP), a concept that is somewhat different from the one of ""energy security,"" which focuses on politically and economically motivated supply interruptions. Different elements of the energy infrastructure are characterized by distinct vulnerabilities. Breaches of security in nuclear plants can lead to large-scale environmental disasters - but the infrastructure is concentrated and relatively easy to guard. Oil and gas production, transportation, and refining infrastructures are often spatially concentrated, and disruptions can lead to shortages if supply is not restored before stockpiles are exhausted. Traditional electricity infrastructures suffer from the need for system-wide integrity to ensure supply reliability, having critical facilities spatially concentrated (substations), and insignificant storage capacity for emergency supply. This review discusses how energy infrastructure and security are related, how this relationship differs from traditional energy security concepts, and what it may mean for private and policy decisions. Key concepts include redundancy, diversity, resilience, storage, decentralization, and interdependence. The concept of CIP is still relatively new and is likely to evolve over time, possibly away from a ""guards, gates, and guns"" defensive approach and toward a design approach that yields systems that are inherently harder to successfully attack. Such survivable systems may feature distributed intelligence, control, and operations.","Critical infrastructure protection; Energy security; Terrorism","Critical infrastructure protection; Decentralization; Energy security; Terrorism; Decision making; Disasters; Electricity; Environmental impact; Intelligent control; Public policy; Redundancy; Energy management",Review,"Final","",Scopus,2-s2.0-10444290723
"Herzog Th., Köhler M., Woher K.-J.","7102604404;25958716300;6504654656;","Improvement of the adhesion of new memory packages by surface engineering",2004,"Proceedings - Electronic Components and Technology Conference","1",,,"1136","1141",,5,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-10444285245&partnerID=40&md5=54d1ca1740793461994b30eba1512384","Technische Universität Dresden, Electronics Packaging Laboratory, D-01062 Dresden, Germany","Herzog, Th., Technische Universität Dresden, Electronics Packaging Laboratory, D-01062 Dresden, Germany; Köhler, M., Technische Universität Dresden, Electronics Packaging Laboratory, D-01062 Dresden, Germany; Woher, K.-J., Technische Universität Dresden, Electronics Packaging Laboratory, D-01062 Dresden, Germany","The requirements of the legislators discussed at present and the reactions of the market concerning the prohibition of certain materials for the production of electronics products lead worldwide to the search for recyclable and environmental friendly materials. The use of very tin-rich solder alloys as most promising alternatives, resulted from the prohibition of lead and cadmium in the solder for all electronics products sold in the European Union, valid starting from 2006. The favored two and tree metal alloys on basis of tin-silver and/or tin-copper possess however a substantially higher melting point than tin-lead solder and lead thus in the manufacturing to higher soldering peak temperatures from 235°C to 250°C for Reflow soldering. Thus and due to the prohibition of certain halogens as flame retardants in the plastics and polymer materials, used formulated at the same time, so far altogether new and more pollution free concepts and materials are necessary for different electronics products. These must correspond however concerning reliability, moisture-sensitiveness and temperature stability if possible to the materials and components used today. For the assembly of new memory modules for the PC market investigations were accomplished, containing of lead free solder contacts of the EGAs and new green Plastics, which cause an improvement of the adhesion during the Packaging process. Since it came frequently to delaminations in the Packaging process with these new materials of the memory chips during the mold processes, solder ball attach or the SMT reflow soldering, special plasma pre-treatment was introduced. With this plasma pre-treatment a significant improvement of the surface energies of the involved silicon chip (Si), BT interposer material and solder mask and thus a better adhesion of the mold compound were reached. For the proof the measurement of the contact angle and the computation of the surface energy on the surfaces treated in the plasma served the improvement as well as the comparison to untreated samples.","Adhesion; Green package; Plasma treatment; Surface energy","Green packages; Memory packages; Plasma treatment; Solder masks; Surface engineering; Adhesion; Cadmium; Data storage equipment; Delamination; Electronic equipment; Interfacial energy; Plasmas; Polymers; Soldering; Surface treatment; Tin alloys; X ray photoelectron spectroscopy; Electronics packaging",Conference Paper,"Final","",Scopus,2-s2.0-10444285245
"Anderson S., Newell R.","7404216481;7101827029;","Prospects for carbon capture and storage technologies",2004,"Annual Review of Environment and Resources","29",,,"109","142",,158,"10.1146/annurev.energy.29.082703.145619","https://www.scopus.com/inward/record.uri?eid=2-s2.0-10444272536&doi=10.1146%2fannurev.energy.29.082703.145619&partnerID=40&md5=0a630c1a6f463556e2bd4953d28fdf8c","Department of Economics, University of Michigan, Ann Arbor, MI 48109, United States; Energy Division, Resources for the Future, Washington, DC 20036, United States","Anderson, S., Department of Economics, University of Michigan, Ann Arbor, MI 48109, United States; Newell, R., Energy Division, Resources for the Future, Washington, DC 20036, United States","Carbon capture and storage (CCS) technologies remove carbon dioxide from flue gases for storage in geologic formations or the ocean. We find that CCS is technically feasible, with current costs of about $200 to $250 per ton of carbon. Although currently a relatively expensive mitigation option, CCS could be attractive if we have a stringent carbon policy, if CCS turns out unexpectedly inexpensive relative to other options, or if it is otherwise desired to retain fossil fuels as part of the energy mix while reducing carbon emissions. Near-term prospects favor CCS for electric power plants and certain industrial sources with storage in depleted oil and gas reservoirs as opposed to aquifers. Deep aquifers may provide an attractive longer-term-storage option, whereas ocean storage poses greater technical and environmental uncertainty. CCS should be seriously considered for addressing climate change, alongside energy efficiency and carbon-free energy, although significant environmental, technical, and political uncertainties and obstacles remain.","Carbon dioxide; Climate change; Fossil fuel; Sequestration","Carbon capture and storage (CCS); Industrial sources; Sequestration; Carbon dioxide; Economic and social effects; Energy efficiency; Environmental impact; Fossil fuels; Free energy; Storage (materials); Climate change",Review,"Final","",Scopus,2-s2.0-10444272536
"Fowler C., Hodgkin T.","7203059967;6603463533;","Plant genetic resources for food and agriculture: Assessing global availability",2004,"Annual Review of Environment and Resources","29",,,"143","179",,102,"10.1146/annurev.energy.29.062403.102203","https://www.scopus.com/inward/record.uri?eid=2-s2.0-10444272535&doi=10.1146%2fannurev.energy.29.062403.102203&partnerID=40&md5=dfe1256a8aa2ef27267126fad70fb434","Ctr. Intl. Environ./Devmt. Studs., Agricultural University of Norway, N-1432 Aas, Norway; Intl. Plant Genetic Rsrc. Institute, 00057 Maccarese, Rome, Italy","Fowler, C., Ctr. Intl. Environ./Devmt. Studs., Agricultural University of Norway, N-1432 Aas, Norway; Hodgkin, T., Intl. Plant Genetic Rsrc. Institute, 00057 Maccarese, Rome, Italy","Plant genetic resources provide the biological underpinning for agriculture and food production. No nation is independent in terms of these resources. Interdependence levels are high among countries. Policy impediments to access may subside, increasing already substantial germplasm flows. Serious questions exist, however, about the health and availability of the actual resources. Genebank collections contain many unintended duplicates, making aggregate numbers seem larger than they really are. Information about individual accessions, particularly those found in situ, is often poor, reducing frequency and efficiency of use and ultimate benefits. Although not firmly established today, the link between conservation and use must be strengthened.","Conservation; Crops; Genebanks; Germplasm; Plant breeding","Conservation; Energy efficiency; Environmental impact; Free energy; Public policy; Storage (materials); Food production; Genebanks; Germplasm; Plant breeding; Genetic engineering",Review,"Final","",Scopus,2-s2.0-10444272535
"Ebersberger B., Bauer R., Alexa L.","6602113053;57197960230;8556497300;","Qualification of SnAg solder bumps for lead-free flip chip applications",2004,"Proceedings - Electronic Components and Technology Conference","1",,,"683","691",,22,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-10444263718&partnerID=40&md5=8d8d14da271b74287c71a35581c62646","Infineon Technologies AG, D-81730 Munich, Germany","Ebersberger, B., Infineon Technologies AG, D-81730 Munich, Germany; Bauer, R., Infineon Technologies AG, D-81730 Munich, Germany; Alexa, L., Infineon Technologies AG, D-81730 Munich, Germany","Lead-free solder bumps as first level flip chip interconnections are still new to the semiconductor industry. Before products can confidently use this new material extensive qualification tests have to be performed to ensure that the bumps meet all requirements. The latter relate both to the subsequent flip chip assembly process and to the reliability of the interconnections under product specific operating conditions. Reliability tests have to take into account all kinds of stress that can lead to degradation of the solder bump interconnects and reduce their lifetime. The results obtained from these tests allow to set the application range for the electroplated SnAg bumps that are investigated here. Bump quality and homogeneity was assessed on wafer level by optical inspection and shear tests. Reliability after various stress conditions, mainly determined by temperature and electric current, was checked on wafer level but mostly on the assembled system including chip pad and substrate pad. The assembled bumps were studied using electric resistance measurements and physical analysis. Results obtained from the various tests give evidence of the high maturity of these lead-free bumps, which would allow them to replace eutectic SnPb in most applications.",,"Atmospheric humidity; Electroplating; Energy dispersive spectroscopy; Etching; Interconnection networks; Scanning electron microscopy; Semiconductor materials; Thermal effects; Tin alloys; High temperature storage (HTS); Organic solderability preservative (OSP); Shear tests; Soldering alloys",Conference Paper,"Final","",Scopus,2-s2.0-10444263718
"Lue J.-L., Hsieh M., Kao D.","15123125100;55238418300;36908692100;","A study of the radiation damage at the opened/un-opened contact of a deep trench capacitor DRAM",2004,"Proceedings of the 30th International Symposium for Testing and Failure Analysis, ISTFA 2004",,,,"465","470",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-10444248227&partnerID=40&md5=54eba4257bbd4021b777cc0d217950f8","ProMOS Technologies Inc., Hsinchu, Taiwan","Lue, J.-L., ProMOS Technologies Inc., Hsinchu, Taiwan; Hsieh, M., ProMOS Technologies Inc., Hsinchu, Taiwan; Kao, D., ProMOS Technologies Inc., Hsinchu, Taiwan","This paper studies the effects of an electron beam and an ion beam in sample preparation at the borderless bit-line contact (CB) between a transistor and a bit line in a deep trench capacitor DRAM [1] using the Transmission Electron Microscope (TEM) and the Electron Energy Loss Spectroscope (EELS). An abnormal region in the Si substrate was observed using cross-sectional TEM (XTEM) analysis at both the opened and un-opened CB contacts when normal sample preparation procedures were applied. CBED (Convergent Beam Electron Diffraction) in the TEM verifies this region is a structure of amorphous Si. The EELS spectrum shows the relative thickness (t/λ) of the TEM sample at this amorphous region is similar to that of the single crystal Si substrate. Experimental results demonstrated that this region was the result of radiation damage caused by either the ion-beam scan or the ion-beam Pt metal deposition required for sample preparation in the Focused Ion Beam (FIB) system. This radiation damage was not caused by inline wafer processing. However, the radiation damage zone for an un-opened contact is smaller than that for an opened contact. The size of the radiation damage zone increases relative to the time of the ion beam exposure. Using electron-beam scan and electron-beam Pt metal deposition can prevent this radiation damage from occurring.",,"Amorphous silicon; Deposition; Electron beams; Electron diffraction; Electron energy loss spectroscopy; Integrated circuits; Ion beams; Ion implantation; Radiation damage; Scanning electron microscopy; Transistors; Transmission electron microscopy; Collisional amporphitization; Convergent beam electron diffraction (CBED); Cross-sectional transmission electron microscopy (XTEM); Focused ion beams (FIB); Dynamic random access storage",Conference Paper,"Final","",Scopus,2-s2.0-10444248227
"Bernardi P., Sonza Reorda M., Sterpone L., Violante M.","7102271566;57188717230;10042677900;7006722955;","On the evaluation of SEU sensitiveness in SRAM-based FPGAs",2004,"Proceedings - 10th IEEE International On-Line Testing Symposium, IOLTS 2004",,,,"115","120",,50,"10.1109/OLT.2004.1319668","https://www.scopus.com/inward/record.uri?eid=2-s2.0-10444269368&doi=10.1109%2fOLT.2004.1319668&partnerID=40&md5=72fdb3dc3e0aa49d222f6d8710583ae4","Politecnico di Torino, Dipto. di Automatica E Informatica, Torino, Italy","Bernardi, P., Politecnico di Torino, Dipto. di Automatica E Informatica, Torino, Italy; Sonza Reorda, M., Politecnico di Torino, Dipto. di Automatica E Informatica, Torino, Italy; Sterpone, L., Politecnico di Torino, Dipto. di Automatica E Informatica, Torino, Italy; Violante, M., Politecnico di Torino, Dipto. di Automatica E Informatica, Torino, Italy","The growing adoption of SRAM-based Field Programmable Gate Arrays (FPGAs) in safety-critical applications demands for efficient methodologies for evaluating their reliability. Single Event Upsets (SEUs) affecting the configuration memory of SRAM-based FPGAs are a major concern, since they can permanently affect the function implemented by the device. We exploited a fault-injection environment developed at our institution to analyze the impact of such faults on SRAM-based FPGAs when fault tolerant design techniques are adopted. The experimental results allow quantitative evaluations of the effects of these faults, and show that the sensitivity of the TMR design technique mainly depends on the characteristics of the adopted TMR architecture in terms of placing and routing.",,"Sequential logic; Single event functional interrupt (SEFI); Single event upsets (SEU); Triple modular redundancy (TMR); Energy utilization; Fault tolerant computer systems; Flip flop circuits; Logic gates; Probability; Problem solving; Random access storage; Redundancy; Sequential circuits; Field programmable gate arrays",Conference Paper,"Final","",Scopus,2-s2.0-10444269368
